Institute ID,Name,City,State,Score,Rank
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.19,1
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.96,2
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.16,3
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,83.22,4
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,82.03,5
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,78.08,6
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,73.84,7
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.69,8
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.08,9
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,64.19,10
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,64.07,11
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,63.68,12
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.56,13
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,62.1,14
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,60.31,15
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.67,16
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,59.19,17
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,58.31,18
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,58.09,19
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,58.02,20
IR-E-U-0064,Indian Institute of Technology Patna,Patna,Bihar,57.38,21
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,56.86,22
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,56.76,23
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,56.76,23
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,56.48,25
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,56.35,26
IR-E-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,56.2,27
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,55.71,28
IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,55.48,29
IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,54.94,30
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,54.87,31
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,54.77,32
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,54.46,33
IR-E-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,54.17,34
IR-E-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,54,35
IR-E-U-0098,Delhi Technological University,New Delhi,Delhi,53.96,36
IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,53.95,37
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,53.22,38
IR-E-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,53.12,39
IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,52.85,40
IR-E-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,52.58,41
IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,51.9,42
IR-E-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,51.56,43
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,50.59,44
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,50.2,45
IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,50.06,46
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49.99,47
IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,49.57,48
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,49.01,49
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,48.49,50
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,48.17,51
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,48.12,52
